Sample Type,Analysis Name,Sample_Code,Client Name,Farm Name,Unnamed: 5,Field Name,Cooperative,x,y,Crop,Depth,Condition,Comments,C (%),%Sand (%),%Silt (%),BD (g/cm3),%Clay (%),SOC (t/ha)
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0070,Regenerative carbon Alliance,Regenerative carbon Alliance,,Adu10,Adu,-2.858567,39.992261,No crop,Top Soil,Moist,,1.43,35.6,9.64,,54.76,61.2129375
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0069,Regenerative carbon Alliance,Regenerative carbon Alliance,,Adu1,Adu,-2.8568637,39.990085,No crop,Top Soil,Moist,,3.67,59.6,11.6,,28.8,157.0989375
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0092,Regenerative carbon Alliance,Regenerative carbon Alliance,,Adu7,Adu,-2.8924431,39.9976,No crop,Top Soil,Moist,,1.92,57.6,9.64,1.24,32.76,82.188
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0067,Regenerative carbon Alliance,Regenerative carbon Alliance,,A95,Adu,-2.8316392,39.973737,No crop,Top Soil,Moist,,0.88,73.6,5.64,,20.76,37.6695
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0066,Regenerative carbon Alliance,Regenerative carbon Alliance,,A94,Adu,-2.819775,39.9370002,No crop,Top Soil,Moist,,0.44,81.6,5.64,,12.76,18.83475
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0065,Regenerative carbon Alliance,Regenerative carbon Alliance,,A93,Adu,-2.8195069,39.937923,No crop,Top Soil,Moist,,1.75,71.6,11.6,,16.8,74.9109375
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0064,Regenerative carbon Alliance,Regenerative carbon Alliance,,A92,Adu,-2.8196067,39.9381063,No crop,Top Soil,Moist,,0.53,83.6,5.64,,10.76,22.6873125
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0063,Regenerative carbon Alliance,Regenerative carbon Alliance,,A91,Adu,-2.8224866,39.9386042,No crop,Top Soil,Moist,,0.91,73.6,7.64,,18.76,38.9536875
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0061,Regenerative carbon Alliance,Regenerative carbon Alliance,,A89,Adu,-2.8273105,39.947692,No crop,Top Soil,Moist,,0.18,87.6,5.64,,6.76,7.705125
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0030,Regenerative carbon Alliance,Regenerative carbon Alliance,,A58,Adu,-2.788289,39.997302,No crop,Top Soil,Moist,,0.67,81.3,6,,12.7,28.6801875
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0029,Regenerative carbon Alliance,Regenerative carbon Alliance,,A56,Adu,-2.788362,39.998937,No crop,Top Soil,Moist,,0.55,73.3,10,,16.7,23.5434375
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0028,Regenerative carbon Alliance,Regenerative carbon Alliance,,A55,Adu,-2.790106,39.998783,No crop,Top Soil,Moist,,1.13,73.3,8,1.34,18.7,48.3710625
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0090,Regenerative carbon Alliance,Regenerative carbon Alliance,,Adu3,Adu,-2.7903319,39.998681,No crop,Top Soil,Moist,,1.16,73.6,11.6,,14.8,49.65525
Soil Analysis,"Soil Bulk Density,Soil Organic Carbon (Dry Combustion),Soil Texture Analysis",CR442SA0094,Regenerative carbon Alliance,Regenerative carbon Alliance,,Adu8,Adu,-2.892939,39.998458,No crop,Top Soil,Moist,,1.43,61.6,9.64,1.41,28.76,61.2129375
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0093,Regenerative carbon Alliance,Regenerative carbon Alliance,,Adu7,Adu,-2.8288239,39.9347613,No crop,Top Soil,Moist,,0.68,79.6,9.64,,10.76,29.10825
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0001,Regenerative carbon Alliance,Regenerative carbon Alliance,,A28,Adu,-2.838116,39.989316,No crop,Top Soil,Moist,,2.05,65.3,12,,22.7,87.7528125
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0002,Regenerative carbon Alliance,Regenerative carbon Alliance,,A29,Adu,-2.837954,39.984007,No crop,Top Soil,Moist,,1.61,69.3,12,,18.7,68.9180625
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0003,Regenerative carbon Alliance,Regenerative carbon Alliance,,A30,Adu,-2.838124,39.984187,No crop,Top Soil,Moist,,2.28,69.3,6,,24.7,97.59825
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0004,Regenerative carbon Alliance,Regenerative carbon Alliance,,A31,Adu,-2.854465,39.998128,No crop,Top Soil,Moist,,2.4,37.3,12,,50.7,102.735
Soil Analysis,"Soil Organic Carbon (Dry Combustion) ,Soil Texture Analysis",CR442SA0005,Regenerative carbon Alliance,Regenerative carbon Alliance,,A32,Adu,-2.854631,39.998457,No crop,Top Soil,Moist,,3.09,37.3,14,,48.7,132.2713125
